species,sci,lat,lon,month
Demoiselle Crane,Anthropoides virgo,53.403742,78.152575,5
Demoiselle Crane,Anthropoides virgo,44.758514,46.102619,5
Demoiselle Crane,Anthropoides virgo,52.815237,104.800393,5
Demoiselle Crane,Anthropoides virgo,52.353544,85.531088,5
Demoiselle Crane,Anthropoides virgo,52.982184,69.003346,5
Demoiselle Crane,Anthropoides virgo,46.066595,43.538534,5
Demoiselle Crane,Anthropoides virgo,43.630737,76.588403,5
Demoiselle Crane,Anthropoides virgo,50.61682,92.40197,5
Demoiselle Crane,Anthropoides virgo,50.4559,93.7036,5
Demoiselle Crane,Anthropoides virgo,50.37307,93.3489,5
Demoiselle Crane,Anthropoides virgo,50.62084,92.68264,5
Demoiselle Crane,Anthropoides virgo,44.324749,75.492477,5
Demoiselle Crane,Anthropoides virgo,50.64149,92.78866,5
Demoiselle Crane,Anthropoides virgo,50.63066,92.59924,5
Demoiselle Crane,Anthropoides virgo,46.499521,102.15482,5
Demoiselle Crane,Anthropoides virgo,46.149766,43.184541,5
Demoiselle Crane,Anthropoides virgo,52.61558,80.157794,5
Demoiselle Crane,Anthropoides virgo,45.993243,43.463492,5
Demoiselle Crane,Anthropoides virgo,44.003333,76.63018,5
Demoiselle Crane,Anthropoides virgo,46.214794,45.103496,5
Demoiselle Crane,Anthropoides virgo,53.328642,78.960358,5
Demoiselle Crane,Anthropoides virgo,49.37795,103.17547,5
Demoiselle Crane,Anthropoides virgo,53.876271,59.657532,5
Demoiselle Crane,Anthropoides virgo,44.59594,46.078946,5
Demoiselle Crane,Anthropoides virgo,44.102866,75.981918,5
Demoiselle Crane,Anthropoides virgo,53.36914,60.828048,5
Demoiselle Crane,Anthropoides virgo,52.188585,60.526386,5
Demoiselle Crane,Anthropoides virgo,50.062482,72.820766,5
Demoiselle Crane,Anthropoides virgo,44.216396,75.710457,5
Demoiselle Crane,Anthropoides virgo,52.855345,70.506456,5
Demoiselle Crane,Anthropoides virgo,51.295371,71.341762,5
Demoiselle Crane,Anthropoides virgo,53.381304,60.831159,5
Demoiselle Crane,Anthropoides virgo,49.961248,72.764415,5
Demoiselle Crane,Anthropoides virgo,52.8561,70.505927,5
Demoiselle Crane,Anthropoides virgo,52.326365,60.521943,5
